('39', '남이분식', '서울 종로구 종로40가길 3', '03197', '02-2273-8203', 'https://mblogthumb-phinf.pstatic.net/MjAyMzEyMjdfNDAg/MDAxNzAzNjI4NTE2NDM2.sGPf9PmlOrRtPt4cJgjgDfr7ZN5qxRlNkJQJqxYpNFcg.Sb2D5Ejt3R0F0hcx0anCOCCg5dysLBDsEQrqUyex7zIg.PNG.jeong_928/C30B519D-D83C-4959-A373-A4093F7C25FB.png?type=w800', '0', '1', '23', '37.570199', '127.006535')
('39', '그랑 카날 샵스 앳 더 베네티안 리조트 라스베이거스', '서울 종로구 종로40가길 13', '03197', '36.1223898', 'https://img.siksinhot.com/place/1458191503441777.JPEG', '0', '1', '23', ' Las Vegas', ' NV 89109 미국')
('39', 'Pink's Hot Dogs', '서울 종로구 종로40가길 13', '03197', '34.0838493', 'https://img.siksinhot.com/place/1458191503441777.JPEG', '0', '1', '23', ' Los Angeles', ' CA 90038 미국')
('39', 'San Pedro Fish Market - Long Beach', '서울 종로구 종로40가길 13', '03197', '33.7533863', 'https://img.siksinhot.com/place/1458191503441777.JPEG', '0', '1', '23', ' Long Beach', ' CA 90803 미국')
('39', '우이락 망원본점', '서울 마포구 포은로8길 22', '04010', '0507-1438-5594', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA1MTlfMjAx/MDAxNjg0NTAwMzQ1MTU4.2FohdFVAhLT5qzkbqfITf73tN0YlYEnpzCdPDvw5ekQg.G_0tfW1-AFNQj-IQrPczEacy4f_6zQirj5FHMFCAfKgg.JPEG.8wildbells8/20230326%EF%BC%BF130033.jpg?type=w800', '0', '1', '13', '37.5564437', '126.9059919')
('39', '고향손칼국수', '경기 고양시 일산서구 중앙로 1371', '10366', '031-914-9866', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA1MTlfMjAx/MDAxNjg0NTAwMzQ1MTU4.2FohdFVAhLT5qzkbqfITf73tN0YlYEnpzCdPDvw5ekQg.G_0tfW1-AFNQj-IQrPczEacy4f_6zQirj5FHMFCAfKgg.JPEG.8wildbells8/20230326%EF%BC%BF130033.jpg?type=w800', '0', '1', '13', '37.6668908', '126.7662465')
('39', '고기랑', '경기 수원시 팔달구 권광로196번길 49', '16488', '031-221-6780', 'https://img.siksinhot.com/place/1505266328888636.jpg', '0', '1', '13', '37.2645122', '127.0358384')
('39', '스시도쿠 왕십리본점', '서울 성동구 왕십리광장로 6 1층 스시도쿠 왕십리본점', '04751', '0507-1320-3255', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20240415085632784_photo_803f03a43d34.jpg', '0', '1', '16', '37.561013', '127.0361635')
('39', '이치류 오목교점', '서울 양천구 목동동로 222-15 1층', '08000', '0507-1380-1277', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA4MDZfMTQ1/MDAxNjkxMzA0MDM0ODQz.ipuESukjS0qCuc1DJDra0XwEki0r4ZUoI7S7QUo5FFEg.ozEyd9qpWi3EO7SopGf7-ip4Mv4KETUv6bPRuBZHkiEg.JPEG.hhnlove/IMG_6365.jpg?type=w800', '0', '1', '19', '37.5253433', '126.8729351')
('39', '복성원', '강원 춘천시 춘천로 195', '24260', '033-251-3125', 'https://img.siksinhot.com/place/1489478051137023.jpg', '0', '1', '19', '37.877027', '127.735567')
('39', '환상숲곶자왈공원', '제주 제주시 한경면 녹차분재로 594-1', '63005', '064-772-2488', 'https://modo-phinf.pstatic.net/20211228_149/1640658393909CvecY_JPEG/mosaS069zF.jpeg?type=f320_320', '0', '1', '19', '33.3228291', '126.2632257')
('39', '곱창파는고깃집', '서울 마포구 마포대로 173-14 마포센텀슬로우스퀘어 401호', '04130', '0507-1384-9245', 'https://pbs.twimg.com/media/Eajoz_sWsAEELHf.jpg', '0', '1', '13', '37.5509462', '126.9536301')
('39', '2 Jln. Ayer', '서울 마포구 마포대로 173-14 마포센텀슬로우스퀘어 401호', '04130', '1.3111097', 'https://pbs.twimg.com/media/Eajoz_sWsAEELHf.jpg', '0', '1', '13', '2 Jln. Ayer', ' 싱가포르 389141')
('39', 'Sambal Bakar Indonesia', '서울 마포구 마포대로 173-14 마포센텀슬로우스퀘어 401호', '04130', ' Babakan', 'https://pbs.twimg.com/media/Eajoz_sWsAEELHf.jpg', '0', '1', '13', 'Jl. Veteran No.12', ' RW.002')
('39', '한추', '서울 강남구 논현로175길 68', '06029', '02-541-0969', 'https://img.siksinhot.com/place/1612497952167121.jpg', '0', '1', '1', '37.5240032', '127.0233572')
('39', '원조마산할매아구찜', '서울 서초구 강남대로99길 10', '06526', '0507-1362-2774', 'https://img.siksinhot.com/place/1532412772127674.jpg', '0', '1', '15', '37.5154736', '127.018933')
