('39', '남이분식', '서울 종로구 종로40가길 3', '03197', '02-2273-8203', 'https://mblogthumb-phinf.pstatic.net/MjAyMzEyMjdfNDAg/MDAxNzAzNjI4NTE2NDM2.sGPf9PmlOrRtPt4cJgjgDfr7ZN5qxRlNkJQJqxYpNFcg.Sb2D5Ejt3R0F0hcx0anCOCCg5dysLBDsEQrqUyex7zIg.PNG.jeong_928/C30B519D-D83C-4959-A373-A4093F7C25FB.png?type=w800', '0', '1', '23', '37.570199', '127.006535')
('39', 'Jl. Talang Betutu No.2', '서울 마포구 마포대로 173-14 마포센텀슬로우스퀘어 401호', '04130', ' Daerah Khusus Ibukota Jakarta 10320 인도네시아', 'https://pbs.twimg.com/media/Eajoz_sWsAEELHf.jpg', '0', '1', '13', ' Tanahabang', ' Kota Jakarta Pusat')
('39', '한추', '서울 강남구 논현로175길 68', '06029', '02-541-0969', 'https://img.siksinhot.com/place/1612497952167121.jpg', '0', '1', '1', '37.5240032', '127.0233572')
('39', '원조마산할매아구찜', '서울 서초구 강남대로99길 10', '06526', '0507-1362-2774', 'https://img.siksinhot.com/place/1532412772127674.jpg', '0', '1', '15', '37.5154736', '127.018933')
('39', '칸다소바 해운대점', '부산 해운대구 구남로30번길 8-3 1층', '48094', '0507-1345-1660', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20240414023115_photo1_75b38cec497d.jpg', '0', '6', '16', '35.1612896', '129.1600904')
('39', '스시선', '서울 도봉구 도봉로 684 모비우스스퀘어 1층', '01334', '0507-1368-6667', 'https://mblogthumb-phinf.pstatic.net/MjAyNDA0MTVfMTYw/MDAxNzEzMTYwODc3MzQz.BaRX4hO2sjq9eC6YlLLGsSy5M1O0IxlMfKd2g5kgKFUg.JGEXHMDc90FYvirB7y3HAJ3ljSV7OBLx4ufZV2-Ct2og.JPEG/1713160463364.jpg?type=w800', '0', '1', '10', '37.6653467', '127.0435897')
('39', '퀴즈노스 하남미사역점', '경기 하남시 미사강변동로84번길 20 퀸즈파크 미사1차 115호', '12912', '031-8028-1771', 'https://s3.ap-northeast-2.amazonaws.com/dongnealba.assets/stores/651966ebe9ac9b1e2e1fc7fd/pic_1696163564066_0.jpeg', '0', '1', '10', '37.5623486', '127.1942718')
('39', '유가장', '경기 여주시 세종로46번길 17-1', '12627', '031-884-1412', 'https://img.siksinhot.com/place/1638151547901198.jpg', '0', '1', '10', '37.293806', '127.6339183')
('39', '바담칼국수 본점', '경기 시흥시 오이도로157번길 1 1층', '15015', 'None', 'https://mblogthumb-phinf.pstatic.net/MjAyMzExMTdfMTYz/MDAxNzAwMjI1MDY3OTQ2.TMnO4Liq6mA_R2wiU4smN3mkR50k_zyo4Jd2EcFQCY0g.Ypv7EEZZNcPujJxwFPLhEHo7rHc_i9C6ApC96iTXEcAg.PNG.hayul_hana/%EB%B0%94%EB%8B%B4%EC%B9%BC%EA%B5%AD%EC%88%98_%EB%B3%B8%EC%A0%90_%EB%A9%94%EC%9D%B8.png?type=w800', '0', '1', '10', '37.3470256', '126.6885587')
('39', '남해달인횟집', '부산 사하구 사리로 40 남해달인횟집', '49319', '051-292-8838', 'https://img.siksinhot.com/place/1492098759393137.jpg', '0', '6', '10', '35.1036122', '128.9990615')
('39', '매운떡볶이', '부산 부산진구 골드테마길 52-2', '47361', '051-633-0166', 'https://img.siksinhot.com/place/1609147634568322.jpg', '0', '6', '7', '35.1440638', '129.0602501')
('39', '수제돈가스', '충북 제천시 남산로5길 13', '27183', '043-645-3939', 'https://tong.visitkorea.or.kr/cms/resource/47/2856047_image2_1.jpg', '0', '6', '7', '37.1335932', '128.2094377')
('39', '숙성육관by해봉', '서울 마포구 토정로37길 41 2층', '04155', '02-712-9929', 'https://soopywoopy.com/wp-content/uploads/2023/08/%EC%88%99%EC%84%B1%EC%9C%A1%EA%B4%80by%ED%95%B4%EB%B4%89-1.jpg', '0', '1', '13', '37.542715', '126.94672')
('39', '발짝 중랑역점', '서울 중랑구 중랑천로12길 53 1층', '02120', '0507-1480-3696', 'https://mblogthumb-phinf.pstatic.net/MjAyMzEwMjhfMjY4/MDAxNjk4NDk4NzE5OTgy.WFc-lpijdgbj3XW8Mn0zBHVC1NcXN89XWSQnusKh-mMg.9xrcEXjoQRH-HRXT086YSsykXn7GCzvKrWNViq-o7cAg.JPEG.ssooook2/IMG_6222.jpg?type=w800', '0', '1', '25', '37.5930763', '127.0758291')
('39', '굽네 플레이타운', '서울 마포구 잔다리로2길 23 1~4층', '04042', '0507-1421-9456', 'https://dnvefa72aowie.cloudfront.net/business/bizPlatform/profile/75807308/1694074583590/MWZiNzA0ZjA3NGU5MzE0NjdlNGFhODA5NzY1ZTNiZGM3MzA1Yjc3ZjE4MDU4ZjJjMWJmOGEyOWYwMDE5NTBjZV8wLmpwZWc=.jpeg?q=82&s=640x640&t=crop', '0', '1', '13', '37.5517086', '126.9211966')
('39', '바이킹스워프 코엑스점', '서울 강남구 영동대로 513 코엑스 컨벤션센터 2층', '06164', '1644-4446', 'https://img.siksinhot.com/place/1593041939987841.jpg', '0', '1', '1', '37.5116687', '127.0602175')
('39', '라멘풍림화산', '서울 강남구 논현로71길 28 라멘풍림화산', '06249', '0507-1387-6511', 'https://www.grandculture.net/Image?localName=daegu&id=GC400P04767&t=middle', '0', '1', '1', '37.4945271', '127.0371922')
('39', '백년화편', '서울 강동구 양재대로81길 32', '05408', '1588-5678', 'https://www.grandculture.net/Image?localName=daegu&id=GC400P04767&t=middle', '0', '1', '2', '37.5232973', '127.1325491')
('39', '오마카세 오사이초밥 잠실점', '서울 송파구 올림픽로 295 삼성생명빌딩 지하1층', '05510', '0507-1419-4624', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA2MTFfMTY5/MDAxNjg2NDc3MTU5OTg1.ZSg_b00vPmd8nXxLjesgztHl1w-hKGLOUZ_L0-nd7mcg.B7tnMEnaa9I_vJdIUA-OKPV42VyA5fpZr3OspmNgmIMg.JPEG.namudri/SE-df77948d-083c-11ee-b240-358545dd8de1.jpg?type=w800', '0', '1', '18', '37.5149274', '127.1032491')
('39', '연하동', '서울 마포구 연남로 6', '03989', '0507-1419-3781', 'https://img.siksinhot.com/story/1698854341301126.jpeg?w=307&h=300&c=Y', '0', '1', '13', '37.560509', '126.9235456')
('39', '온달왕돈까스치킨호프', '서울 성북구 동소문로20가길 38', '02845', '02-923-6557', 'https://img.siksinhot.com/place/1676339756626676.jpg', '0', '1', '17', '37.5930954', '127.0183024')
('39', '송화산시도삭면 2호점', '서울 광진구 아차산로30길 33', '05073', '0507-1476-7832', 'https://img.siksinhot.com/place/1675930649595182.jpg?w=307&h=300&c=Y', '0', '1', '6', '37.5392026', '127.0672414')
('39', '피씨나인', '서울 용산구 청파로47나길 13 지하1층', '04310', '02-123-7894', 'https://d2uja84sd90jmv.cloudfront.net/posts/KgBii_vPDAcYnwFuz_diYg/ms.jpg', '0', '1', '21', '37.5455638', '126.9668628')
('39', '용산센트럴부동산공인중개사사무소', '서울 용산구 한강대로 177 1층', '04375', '02-797-1090', 'https://mblogthumb-phinf.pstatic.net/MjAyNDAzMTlfMTE3/MDAxNzEwODE2NTg2MTgz.gHH6UoRO2AoC3OlL4y48J7n4yBRC6w6j9-ItUg_CQfAg.BBd43LBrynhwidpiFBxPMpZeH2a2ZxkEsm8QwvTHwqYg.PNG/20240319_114634.png?type=w800', '0', '1', '21', '37.5347273', '126.9727665')
('39', '성이네천원김밥', '서울 중랑구 중랑역로 150', '02010', '02-976-5648', 'https://mblogthumb-phinf.pstatic.net/MjAyMjA5MjdfMjg2/MDAxNjY0MjM2ODY4NzQw.Z2rRTOpCoS1rGG_3ivDcygBIsNV1EWV9H4_MmIqf9Ksg.F-FzB1aBRllNJA55hAfjK724q5cmDKpywYc3H5IS8d0g.JPEG.j30694/20220913%EF%BC%BF191330.jpg?type=w800', '0', '1', '25', '37.6066864', '127.0771545')
('39', '을지로골뱅이', '인천 부평구 길주남로 108-1 1층', '21352', '032-330-5001', 'https://mblogthumb-phinf.pstatic.net/MjAyMTExMDJfMTc4/MDAxNjM1ODIzNzgzODA4.ElpcYfwUAJ50PtEHkITeIsLRNZyy7AWW4gOZpZAI2pkg.Re3PiIyUnA2noRua_hjT-bO2ULynvoZJpqu43N4slNQg.JPEG.seronglalala/20211030%EF%BC%BF210315.jpg?type=w800', '0', '2', '6', '37.5039751', '126.7337822')
('39', '편편집 강남역점', '서울 서초구 서초대로77길 31 2층', '06612', '0507-1353-1582', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20240329045940019_photo_d469d59e807a.jpg', '0', '1', '15', '37.5006169', '127.0253986')
('39', '도산정육 본점', '서울 강남구 선릉로155길 12 1층', '06018', '0507-1304-9206', 'https://img.siksinhot.com/place/1689912878210705.jpg', '0', '1', '1', '37.5255563', '127.0388229')
('39', '이문설렁탕', '서울 종로구 우정국로 38-13', '03149', '02-733-6526', 'https://img.siksinhot.com/place/1645074867900331.jpg?w=307&h=300&c=Y', '0', '1', '23', '37.5727663', '126.9839047')
('39', '프랭크버거 송파문정점', '서울 송파구 송파대로 167 테라타워 A동 지하 1층 117호', '05855', '0507-1319-8170', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20240123074645873_photo_28bbdfb15e48.jpg', '0', '1', '18', '37.4846615', '127.1209336')
('39', '호석촌', '서울 송파구 백제고분로39길 36', '05609', '0507-1418-2459', 'https://img.siksinhot.com/place/1703819268411765.jpg?w=307&h=300&c=Y', '0', '1', '18', '37.5073263', '127.1034134')
('39', '연세나을요양병원', '경기 고양시 일산동구 장백로 174 지하1층~10층', '10414', '0507-1336-4188', 'https://cdn.ddoga.co.kr/partners/ltchPhoto/13d63060-b03a-11ee-bec1-030d0e00ed49.png', '0', '1', '18', '37.6504751', '126.7776368')
('39', '후라이드참잘하는집 수택점', '경기 구리시 이문안로 81 상가동 1층 1호', '11941', '031-552-9992', 'https://mblogthumb-phinf.pstatic.net/MjAyMzAxMTJfMjEx/MDAxNjczNTA2NjUxMzAy.pUQyNpzxHzji6lvbEU52Bf4ED5BxPngFq7Pvkt_qoMog.fU12pbgLuRr7FZA7eiyqqhx5jxTDmhOMPfN9bYx7Kf4g.JPEG.good_fried/%EC%88%98%ED%83%9D%EC%A0%90-%EC%98%A4%ED%94%88%EB%B0%B0%EB%84%881.jpg?type=w800', '0', '1', '18', '37.5923068', '127.1400836')
('39', '두끼 롯데몰은평점', '서울 은평구 통일로 1050 은평롯데몰 4F', '03306', '02-6975-5416', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA1MDRfODUg/MDAxNjgzMTg3MzgwNzk1.ldlrdqAhk5zeT_wUtbGxsEW9cwjh76GISUukZ5XJ1G8g.Pvs1xK3Kj3N5UVSXDNjE1Ygs5vKyf_lVCnQkWc9ZOR0g.JPEG.allthedaylong/SE-edb14d43-f09c-4625-b725-d7b8c5ff97d3.jpg?type=w800', '0', '1', '22', '37.6375366', '126.9179003')
('39', '초원 튀김전문점', '경기 고양시 덕양구 마상로154번길 34 초원주택', '10463', '031-964-2911', 'https://mblogthumb-phinf.pstatic.net/MjAxODAyMDVfMjA1/MDAxNTE3Nzg3MTM3OTQw.hr7Xl0nC1TetGf0SP1rf41ASz2JnJzX-VsSJLr2PeaYg.UQ3nq4VLUcpYo8XmAa4DtZH8-oN1Rv9-XyI4CLLzxSog.JPEG.tazan00009/image_433593021517787017514.jpg?type=w800', '0', '1', '22', '37.6576031', '126.8382034')
('39', '미아리우동집', '서울 성북구 종암로 176', '02739', '02-918-1112', 'https://mblogthumb-phinf.pstatic.net/MjAyMjA2MDFfMzQg/MDAxNjU0MDc3NDg2MTE1.rcmg3KNJCcDIjD3Yi14g76-dkQHLzI-yWYF3yH3nsDkg.BdE-2OsQZmkEamdcH4nafdNTJUvYZkvGgDx4bZnp6CYg.JPEG.eeekha/SE-21e494d1-7c5e-4e87-a137-e3b6299f14d3.jpg?type=w800', '0', '1', '17', '37.6056027', '127.0317231')
('39', 'Just Steak', '서울 강남구 언주로152길 11-7', '06021', '02-544-9357', 'https://img.siksinhot.com/place/1552548645449018.jpg', '0', '1', '1', '37.5231487', '127.034413')
('39', '하영각', '서울 강남구 개포로31길 8 (개포동, 푸르지오디아뜨) 1층', '06306', '127.0497957', 'https://img.siksinhot.com/place/1612152196279949.jpg', '0', '1', '1', ' 푸르지오디아뜨) 1층', '37.4796425')
('39', '진오뎅이랑정종', '서울 관악구 남현1길 58 남현58길 덕인빌딩1층', '08806', '02-581-8950', 'https://mblogthumb-phinf.pstatic.net/MjAyMzAxMDNfNTMg/MDAxNjcyNzEzNDcxNDAw.Gu_UUKooajZl4VkWbJay0bR2CXmJCGkTVSHy8pUWhW4g.vZAH78YGhP9OX0oOIWrkJQuKqY-GFuJj7jdH7UvCUFog.JPEG.boramee1018/IMG_8552.jpg?type=w800', '0', '1', '5', '37.4757831', '126.9805318')
('39', '눈나무집', '서울 종로구 삼청로 136-1', '03050', '02-739-6742', 'https://img.siksinhot.com/place/1636514561101215.jpg', '0', '1', '23', '37.587483', '126.9818766')
('39', '산골닭갈비', '서울 광진구 구의강변로7길 5', '05047', '02-444-7985', 'https://img.siksinhot.com/place/1351562591024883.jpg', '0', '1', '6', '37.5381868', '127.0932418')
('39', '빨간세상 라면학교', '경기 의정부시 시민로 83 광장타워 1층', '11670', '031-837-3334', 'https://img.siksinhot.com/place/1482106307627195.jpg', '0', '1', '6', '37.7389401', '127.0445675')
('39', '남영돈', '서울 용산구 한강대로80길 17', '04352', '02-793-3598', 'https://mblogthumb-phinf.pstatic.net/MjAxODA2MDRfNjcg/MDAxNTI4MDgxMTIxOTcy.zApGqQBvG9VpOv8kAnI50OauHhrUsdC1tyA0dT01XJ4g.2dLnTJ-URHyZiEcMf9QJly9ZsZdWMg1z_ZTXzTSrZyQg.JPEG.euroshim67/image_6202266111528080839221.jpg?type=w800', '0', '1', '21', '37.5427593', '126.9738012')
('39', '위찜 청주 산남점', '충북 청주시 서원구 두꺼비로78번길 63-1 1층 위찜', '28625', '0507-1348-4552', 'https://mblogthumb-phinf.pstatic.net/MjAyMjA4MTFfMTM5/MDAxNjYwMjEwNzgzNjc1.7WKQjnayZnaIe0dhMe76u3Rdkoj7jHhzKGRbfaHZrTAg.1nz_yNCG4VrdwhMzsTxfIuVO9ro2-sszHO5GAHtADi0g.JPEG.hehememe/SE-d920e540-16d5-11ed-a692-ad7851b6ece2.jpg?type=w800', '0', '1', '21', '36.6117363', '127.4678957')
('39', '원조 쯔왕돈까스', '서울 동작구 동작대로23길 33 1층', '07013', '0507-1464-0435', 'https://img.siksinhot.com/place/1696907376824333.jpg', '0', '1', '12', '37.4841565', '126.9798664')
('39', '영동장어', '서울 강남구 언주로148길 8', '06057', '02-3448-9991', 'https://img.siksinhot.com/place/1676252157088489.jpg?w=307&h=300&c=Y', '0', '1', '1', '37.5203909', '127.0352931')
('39', '평화김해뒷고기 건대점', '서울 광진구 아차산로31길 9-1 1층', '05018', '02-461-1223', 'https://img.siksinhot.com/place/1676252157088489.jpg?w=307&h=300&c=Y', '0', '1', '6', '37.5415604', '127.0693913')
('39', '서파넓적갈비 용두점', '서울 동대문구 천호대로31길 16 탑빌딩 1층', '02564', '0507-1466-0726', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA0MjNfMTU4/MDAxNjgyMjUxOTg0ODU3.XkbatM7diuTKa8BLy95vN5jN_U-3lMHslcBymXKFDUcg.89nNaMqvnXEliPtKcoQeNUijLCVSHzELw80kakMX5Hsg.JPEG.yr1109/20230422%EF%BC%BF175941.jpg?type=w800', '0', '1', '11', '37.5742256', '127.04075')
('39', '나누리잡화점', '서울 성동구 연무장길 47 1층', '04782', '02-467-0344', 'https://mblogthumb-phinf.pstatic.net/MjAyMTA0MTJfNjQg/MDAxNjE4MjEzNzY5MTY2.LT-hNo5XkOeuQ209BUIji67F7m030G0Bx2uLPrGd3akg.tSGDjJHe-dISxuVPu56IGdaj6cZBTHYTE87tQaU3HSkg.JPEG.seulah7/SE-A0F6DF98-B17C-46AD-BDF6-608975F79373.jpg?type=w800', '0', '1', '16', '37.5428033', '127.0547473')
('39', '세광양대창 강남역중앙점', '서울 강남구 강남대로94길 14 1층', '06134', '02-555-5717', 'https://mblogthumb-phinf.pstatic.net/MjAyMzA3MDdfOSAg/MDAxNjg4NjkxNTgzNTQ2.6qwIMb2FGQWsoc_zQSRNJSvL-JKtGm1BQ8cvXrk5VUsg.rk5jH1WM9Idt-3fohQA99_TJwqTOj9u_n5REt888zq0g.JPEG.mystery1203/20230707%EF%BC%BF095333.jpg?type=w800', '0', '1', '1', '37.4993443', '127.0286037')
('39', 'BBQ치킨 수원원천점', '경기 수원시 영통구 월드컵로97번길 53', '16518', '0507-1319-4449', 'https://lh3.googleusercontent.com/xXdHrm1WNNBgNKwxf1QEuLdmSOoMRXdjO7p3Q22ezea1kM5d9RoZbiUuDm6LKoi_i70Fu3kH1Dfvtk4BOvd_V8YsZ6K6xvxjm96F1yWhMagZZxm-Lsvh=w650-h370-n', '0', '1', '1', '37.2743541', '127.0502556')
('39', '하이디라오 서초지점', '서울 서초구 서초대로77길 54 2층 하이디라오 훠궈', '06611', '0507-1350-8260', 'https://img.siksinhot.com/place/1474138725955565.jpg', '0', '1', '15', '37.5025793', '127.0248509')
('39', 'BBQ치킨 빌리지 송리단길점', '서울 송파구 석촌호수로 284', '05623', '02-2203-8292', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20230804120111_photo2_0737b5043ff4.jpg', '0', '1', '18', '37.5108987', '127.1070496')
('39', '마포원조떡볶이', '서울 마포구 도화2길 3', '04172', '02-719-2005', 'https://img.siksinhot.com/place/1464867055720091.png', '0', '1', '13', '37.5403569', '126.9487607')
('39', '꼭대기집약수터', '인천 강화군 길상면 장흥로101번길 31-11 꼭대기집약수터', '23052', '0507-1442-3578', 'https://img.siksinhot.com/place/1458753891762976.jpg?w=307&h=300&c=Y', '0', '2', '1', '37.611902', '126.5106916')
('39', '신길동매운짬뽕', '서울 영등포구 영등포로62길 10-1', '07309', '010-5395-1151', 'https://img.siksinhot.com/place/1467725185997109.JPG', '0', '1', '20', '37.5153314', '126.9165075')
('39', '영화장', '서울 동대문구 휘경로 3-8', '02419', '02-967-9595', 'https://img.siksinhot.com/place/1594017560545569.jpg?w=307&h=300&c=Y', '0', '1', '11', '37.5965708', '127.0609381')
('39', '노원 대머리곱창', '서울 노원구 상계로1길 62-4 대머리곱창', '01693', '02-928-5127', 'https://mblogthumb-phinf.pstatic.net/MjAyNDAyMDZfNDYg/MDAxNzA3MjA3MTUyMTg2.1F0QTC3yFPUg6BpOdWxrVxKwYnasBMxeq5MCVRvooG4g.7Hw15xwPz3KsCAyFEu-C3d_ubAu7i_zzKz8khXhvxL8g.JPEG.97adorable/SE-485AEF32-49EA-4C94-A144-18F41D96362F.jpg?type=w800', '0', '1', '9', '37.6587796', '127.0616763')
('39', '공간미학', '경기 평택시 오성면 신2리길 59-18', '17927', 'None', 'https://ggc.ggcf.kr/uploadimg/2023/resize/2a62066b1679382938243.png', '0', '1', '9', '37.0077785', '127.0102062')
('39', '오감쭈꾸미', '서울 서초구 방배천로 12-11', '06693', '0507-1331-1566', 'https://img.siksinhot.com/place/1526361864428041.jpg?w=307&h=300&c=Y', '0', '1', '15', '37.4775266', '126.9837641')
('39', '푸른하늘', '서울 동대문구 경희대로6길 3-4', '02453', '0507-1379-3394', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20231227123246_photo1_SpEQfX6WPaZc.jpg', '0', '1', '11', '37.5935637', '127.0531071')
('39', '천우목장', '서울 용산구 한강대로54길 3 1층', '04382', '02-790-1009', 'https://img.siksinhot.com/place/1675751999869073.jpg?w=560&h=448&c=X', '0', '1', '21', '37.5329114', '126.9719162')
('39', '불공장', '서울 강남구 강남대로156길 31-9 1층 불공장', '06034', '02-545-1231', 'https://img.siksinhot.com/place/1611019911815372.jpg', '0', '1', '1', '37.5190975', '127.0214598')
('39', '쌍다리돼지불백 본점', '서울 성북구 성북로23길 4', '02879', '02-743-0325', 'https://img.siksinhot.com/place/1459129575202973.JPG', '0', '1', '17', '37.5935292', '126.9958088')
('39', '중화가정 고메이494 한남점', '서울 용산구 한남대로 91 나인원 한남 지하2층', '04401', '0507-1338-7801', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20231008193118_photo1_a2e1b1990f36.jpg', '0', '1', '21', '37.5364406', '127.0034707')
('39', '따뜻한밥상 연신내', '서울 은평구 연서로 260 2층', '03350', '010-9626-1371', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20231008193118_photo1_a2e1b1990f36.jpg', '0', '1', '22', '37.6199335', '126.923634')
('39', '착한고깃집', '경기 안산시 상록구 충장로 586', '15279', '070-8810-1979', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20231125055614_photo1_1cb977c7a510.jpg', '0', '1', '22', '37.3302654', '126.8510079')
('39', '빽찐라면', '서울 동작구 상도로 295 빽찐라면', '06970', '02-6397-4186', 'https://d12zq4w4guyljn.cloudfront.net/750_750_20220505075034454_photo_c54d8d54a040.jpg', '0', '1', '12', '37.5015199', '126.9494908')
('39', '동대문엽기떡볶이 신촌점', '서울 서대문구 연세로5가길 14 2층', '03789', '02-365-8592', 'https://mblogthumb-phinf.pstatic.net/MjAyMzAzMDJfMjEx/MDAxNjc3NzE4MjEwNTE2.u8laECPTaJvGNhC9OZgF92P3qZs32HKpYqTwX_aMm_cg.pQRQgNWlu69z8qPioJOMwRklUlG2LfG1QDP8VM4nJJog.JPEG.rudgk0246/1677717203855.jpg?type=w800', '0', '1', '14', '37.557437', '126.9359782')
('39', '싱싱해수산', '서울 송파구 양재대로 932 가락몰 1층 b13호', '05699', '0507-1460-2307', 'https://cdn.tpirates.com/files/etc/2017/0522/77422f16114108e46965aaf340b10d14_FThumb.jpg', '0', '1', '18', '37.4934281', '127.1162897')
